"Step","seed_42_20260203_072716 - train/loss","seed_42_20260203_072716 - train/loss__MIN","seed_42_20260203_072716 - train/loss__MAX"
"100","0.1673785001039505","0.1673785001039505","0.1673785001039505"
"200","0.1293758749961853","0.1293758749961853","0.1293758749961853"
"300","0.14076557755470276","0.14076557755470276","0.14076557755470276"
"400","0.11028386652469635","0.11028386652469635","0.11028386652469635"
"500","0.10057222843170166","0.10057222843170166","0.10057222843170166"
"600","0.08153124153614044","0.08153124153614044","0.08153124153614044"
"700","0.08375068753957748","0.08375068753957748","0.08375068753957748"
"800","0.07580788433551788","0.07580788433551788","0.07580788433551788"
"900","0.09132707118988037","0.09132707118988037","0.09132707118988037"
"1000","0.07993094623088837","0.07993094623088837","0.07993094623088837"
"1100","0.08677470684051514","0.08677470684051514","0.08677470684051514"
"1200","0.08695483952760696","0.08695483952760696","0.08695483952760696"
"1300","0.07458047568798065","0.07458047568798065","0.07458047568798065"
"1400","0.09108683466911316","0.09108683466911316","0.09108683466911316"
"1500","0.07694421708583832","0.07694421708583832","0.07694421708583832"
"1600","0.06390617787837982","0.06390617787837982","0.06390617787837982"
"1700","0.06634142249822617","0.06634142249822617","0.06634142249822617"
"1800","0.07806731760501862","0.07806731760501862","0.07806731760501862"
"1900","0.0663451999425888","0.0663451999425888","0.0663451999425888"
"2000","0.07563545554876328","0.07563545554876328","0.07563545554876328"
"2100","0.05243360996246338","0.05243360996246338","0.05243360996246338"
"2200","0.07381342351436615","0.07381342351436615","0.07381342351436615"
"2300","0.0718701183795929","0.0718701183795929","0.0718701183795929"
"2400","0.061689428985118866","0.061689428985118866","0.061689428985118866"
"2500","0.05939248949289322","0.05939248949289322","0.05939248949289322"
"2600","0.07649447023868561","0.07649447023868561","0.07649447023868561"
"2700","0.051501933485269547","0.051501933485269547","0.051501933485269547"
"2800","0.09787509590387344","0.09787509590387344","0.09787509590387344"
"2900","0.07116295397281647","0.07116295397281647","0.07116295397281647"
"3000","0.045109186321496964","0.045109186321496964","0.045109186321496964"
"3100","0.056402966380119324","0.056402966380119324","0.056402966380119324"
"3200","0.04639948904514313","0.04639948904514313","0.04639948904514313"
"3300","0.05623417720198631","0.05623417720198631","0.05623417720198631"
"3400","0.06346568465232849","0.06346568465232849","0.06346568465232849"
