"Step","seed_42_20260203_074720 - train/loss","seed_42_20260203_074720 - train/loss__MIN","seed_42_20260203_074720 - train/loss__MAX"
"100","0.6664936542510986","0.6664936542510986","0.6664936542510986"
"200","0.5129691958427429","0.5129691958427429","0.5129691958427429"
"300","0.4769653081893921","0.4769653081893921","0.4769653081893921"
"400","0.4064843952655792","0.4064843952655792","0.4064843952655792"
"500","0.42574697732925415","0.42574697732925415","0.42574697732925415"
"600","0.43248623609542847","0.43248623609542847","0.43248623609542847"
"700","0.4603526294231415","0.4603526294231415","0.4603526294231415"
"800","0.39781489968299866","0.39781489968299866","0.39781489968299866"
"900","0.39682161808013916","0.39682161808013916","0.39682161808013916"
"1000","0.43174153566360474","0.43174153566360474","0.43174153566360474"
"1100","0.3625137209892273","0.3625137209892273","0.3625137209892273"
"1200","0.41735315322875977","0.41735315322875977","0.41735315322875977"
"1300","0.3490036129951477","0.3490036129951477","0.3490036129951477"
"1400","0.3875530958175659","0.3875530958175659","0.3875530958175659"
"1500","0.3617260754108429","0.3617260754108429","0.3617260754108429"
"1600","0.3527379631996155","0.3527379631996155","0.3527379631996155"
"1700","0.31905126571655273","0.31905126571655273","0.31905126571655273"
"1800","0.3388022482395172","0.3388022482395172","0.3388022482395172"
"1900","0.3643183708190918","0.3643183708190918","0.3643183708190918"
"2000","0.3305034339427948","0.3305034339427948","0.3305034339427948"
"2100","0.3152015805244446","0.3152015805244446","0.3152015805244446"
"2200","0.32647499442100525","0.32647499442100525","0.32647499442100525"
"2300","0.3332942724227905","0.3332942724227905","0.3332942724227905"
"2400","0.35813915729522705","0.35813915729522705","0.35813915729522705"
"2500","0.3214823603630066","0.3214823603630066","0.3214823603630066"
"2600","0.35501012206077576","0.35501012206077576","0.35501012206077576"
"2700","0.30489251017570496","0.30489251017570496","0.30489251017570496"
"2800","0.37485000491142273","0.37485000491142273","0.37485000491142273"
"2900","0.3424803614616394","0.3424803614616394","0.3424803614616394"
"3000","0.3016090393066406","0.3016090393066406","0.3016090393066406"
"3100","0.33339062333106995","0.33339062333106995","0.33339062333106995"
"3200","0.2981988787651062","0.2981988787651062","0.2981988787651062"
"3300","0.2919711172580719","0.2919711172580719","0.2919711172580719"
"3400","0.34446191787719727","0.34446191787719727","0.34446191787719727"
"3500","0.2878783345222473","0.2878783345222473","0.2878783345222473"
"3600","0.35587480664253235","0.35587480664253235","0.35587480664253235"
"3700","0.3071337938308716","0.3071337938308716","0.3071337938308716"
"3800","0.3140237629413605","0.3140237629413605","0.3140237629413605"
"3900","0.319588303565979","0.319588303565979","0.319588303565979"
"4000","0.2623777389526367","0.2623777389526367","0.2623777389526367"
"4100","0.277312695980072","0.277312695980072","0.277312695980072"
"4200","0.27352410554885864","0.27352410554885864","0.27352410554885864"
"4300","0.2928105592727661","0.2928105592727661","0.2928105592727661"
"4400","0.2797580361366272","0.2797580361366272","0.2797580361366272"
"4500","0.3280608654022217","0.3280608654022217","0.3280608654022217"
"4600","0.3205639123916626","0.3205639123916626","0.3205639123916626"
"4700","0.27182936668395996","0.27182936668395996","0.27182936668395996"
"4800","0.3144172132015228","0.3144172132015228","0.3144172132015228"
"4900","0.29690882563591003","0.29690882563591003","0.29690882563591003"
"5000","0.32073092460632324","0.32073092460632324","0.32073092460632324"
"5100","0.32978108525276184","0.32978108525276184","0.32978108525276184"
"5200","0.2999970316886902","0.2999970316886902","0.2999970316886902"
"5300","0.2515636384487152","0.2515636384487152","0.2515636384487152"
"5400","0.3211960196495056","0.3211960196495056","0.3211960196495056"
"5500","0.2712334394454956","0.2712334394454956","0.2712334394454956"
"5600","0.29530632495880127","0.29530632495880127","0.29530632495880127"
"5700","0.2864443063735962","0.2864443063735962","0.2864443063735962"
"5800","0.29115331172943115","0.29115331172943115","0.29115331172943115"
"5900","0.25364696979522705","0.25364696979522705","0.25364696979522705"
"6000","0.281342089176178","0.281342089176178","0.281342089176178"
"6100","0.280910849571228","0.280910849571228","0.280910849571228"
"6200","0.2804179787635803","0.2804179787635803","0.2804179787635803"
"6300","0.31505849957466125","0.31505849957466125","0.31505849957466125"
"6400","0.2693260908126831","0.2693260908126831","0.2693260908126831"
"6500","0.28051072359085083","0.28051072359085083","0.28051072359085083"
"6600","0.3175349831581116","0.3175349831581116","0.3175349831581116"
"6700","0.25070542097091675","0.25070542097091675","0.25070542097091675"
"6800","0.2957606613636017","0.2957606613636017","0.2957606613636017"
"6900","0.27399569749832153","0.27399569749832153","0.27399569749832153"
"7000","0.33621740341186523","0.33621740341186523","0.33621740341186523"
"7100","0.33369746804237366","0.33369746804237366","0.33369746804237366"
"7200","0.28840452432632446","0.28840452432632446","0.28840452432632446"
"7300","0.30100804567337036","0.30100804567337036","0.30100804567337036"
"7400","0.2515582740306854","0.2515582740306854","0.2515582740306854"
"7500","0.24767467379570007","0.24767467379570007","0.24767467379570007"
"7600","0.27489131689071655","0.27489131689071655","0.27489131689071655"
"7700","0.2682589292526245","0.2682589292526245","0.2682589292526245"
"7800","0.2870335578918457","0.2870335578918457","0.2870335578918457"
"7900","0.24725386500358582","0.24725386500358582","0.24725386500358582"
"8000","0.26305845379829407","0.26305845379829407","0.26305845379829407"
"8100","0.29891765117645264","0.29891765117645264","0.29891765117645264"
"8200","0.2715270519256592","0.2715270519256592","0.2715270519256592"
"8300","0.2708836793899536","0.2708836793899536","0.2708836793899536"
"8400","0.27927058935165405","0.27927058935165405","0.27927058935165405"
"8500","0.25612175464630127","0.25612175464630127","0.25612175464630127"
"8600","0.2435188740491867","0.2435188740491867","0.2435188740491867"
"8700","0.28176695108413696","0.28176695108413696","0.28176695108413696"
"8800","0.24429936707019806","0.24429936707019806","0.24429936707019806"
"8900","0.2829165458679199","0.2829165458679199","0.2829165458679199"
"9000","0.2638219892978668","0.2638219892978668","0.2638219892978668"
"9100","0.28067857027053833","0.28067857027053833","0.28067857027053833"
"9200","0.2845928966999054","0.2845928966999054","0.2845928966999054"
"9300","0.23919877409934998","0.23919877409934998","0.23919877409934998"
"9400","0.2551969885826111","0.2551969885826111","0.2551969885826111"
"9500","0.27048295736312866","0.27048295736312866","0.27048295736312866"
"9600","0.24446451663970947","0.24446451663970947","0.24446451663970947"
"9700","0.24750418961048126","0.24750418961048126","0.24750418961048126"
"9800","0.2978961169719696","0.2978961169719696","0.2978961169719696"
"9900","0.2347002923488617","0.2347002923488617","0.2347002923488617"
"10000","0.2351403832435608","0.2351403832435608","0.2351403832435608"
"10100","0.27453508973121643","0.27453508973121643","0.27453508973121643"
"10200","0.23702794313430786","0.23702794313430786","0.23702794313430786"
"10300","0.2701815664768219","0.2701815664768219","0.2701815664768219"
"10400","0.2285318672657013","0.2285318672657013","0.2285318672657013"
"10500","0.26190200448036194","0.26190200448036194","0.26190200448036194"
"10600","0.2695854902267456","0.2695854902267456","0.2695854902267456"
"10700","0.25110945105552673","0.25110945105552673","0.25110945105552673"
"10800","0.25199073553085327","0.25199073553085327","0.25199073553085327"
"10900","0.25975584983825684","0.25975584983825684","0.25975584983825684"
"11000","0.22441932559013367","0.22441932559013367","0.22441932559013367"
"11100","0.23925542831420898","0.23925542831420898","0.23925542831420898"
"11200","0.23897826671600342","0.23897826671600342","0.23897826671600342"
"11300","0.27080053091049194","0.27080053091049194","0.27080053091049194"
"11400","0.273968905210495","0.273968905210495","0.273968905210495"
"11500","0.2551327049732208","0.2551327049732208","0.2551327049732208"
"11600","0.24870431423187256","0.24870431423187256","0.24870431423187256"
"11700","0.23475627601146698","0.23475627601146698","0.23475627601146698"
"11800","0.2561778724193573","0.2561778724193573","0.2561778724193573"
"11900","0.28909236192703247","0.28909236192703247","0.28909236192703247"
"12000","0.2651650905609131","0.2651650905609131","0.2651650905609131"
"12100","0.20979979634284973","0.20979979634284973","0.20979979634284973"
"12200","0.23005323112010956","0.23005323112010956","0.23005323112010956"
"12300","0.27312684059143066","0.27312684059143066","0.27312684059143066"
"12400","0.24743476510047913","0.24743476510047913","0.24743476510047913"
"12500","0.27807584404945374","0.27807584404945374","0.27807584404945374"
"12600","0.2758893072605133","0.2758893072605133","0.2758893072605133"
"12700","0.23452766239643097","0.23452766239643097","0.23452766239643097"
"12800","0.24722199141979218","0.24722199141979218","0.24722199141979218"
"12900","0.25147587060928345","0.25147587060928345","0.25147587060928345"
"13000","0.26835015416145325","0.26835015416145325","0.26835015416145325"
"13100","0.24798406660556793","0.24798406660556793","0.24798406660556793"
"13200","0.27123844623565674","0.27123844623565674","0.27123844623565674"
"13300","0.2613333761692047","0.2613333761692047","0.2613333761692047"
"13400","0.20524179935455322","0.20524179935455322","0.20524179935455322"
"13500","0.27788248658180237","0.27788248658180237","0.27788248658180237"
"13600","0.2795507311820984","0.2795507311820984","0.2795507311820984"
"13700","0.26612865924835205","0.26612865924835205","0.26612865924835205"
"13800","0.2305532842874527","0.2305532842874527","0.2305532842874527"
"13900","0.2598065733909607","0.2598065733909607","0.2598065733909607"
"14000","0.22817060351371765","0.22817060351371765","0.22817060351371765"
"14100","0.2605259418487549","0.2605259418487549","0.2605259418487549"
"14200","0.2641925513744354","0.2641925513744354","0.2641925513744354"
"14300","0.28316542506217957","0.28316542506217957","0.28316542506217957"
"14400","0.29785311222076416","0.29785311222076416","0.29785311222076416"
"14500","0.278158962726593","0.278158962726593","0.278158962726593"
"14600","0.2918025851249695","0.2918025851249695","0.2918025851249695"
"14700","0.20949247479438782","0.20949247479438782","0.20949247479438782"
"14800","0.3083522617816925","0.3083522617816925","0.3083522617816925"
"14900","0.27420249581336975","0.27420249581336975","0.27420249581336975"
"15000","0.280285120010376","0.280285120010376","0.280285120010376"
"15100","0.25572317838668823","0.25572317838668823","0.25572317838668823"
"15200","0.24952274560928345","0.24952274560928345","0.24952274560928345"
"15300","0.22575125098228455","0.22575125098228455","0.22575125098228455"
"15400","0.2143888622522354","0.2143888622522354","0.2143888622522354"
